year,category,value
2011,all,2.8
2011,food,3.7
2011,gas,19.7
2011,shelter,1.7
2011,transportation,6.4
2012,all,1.5
2012,food,2.4
2012,gas,2.6
2012,shelter,1.2
2012,transportation,2.0
2013,all,0.9
2013,food,1.2
2013,gas,0.6
2013,shelter,1.2
2013,transportation,0.7
2014,all,1.9
2014,food,2.3
2014,gas,0.2
2014,shelter,2.7
2014,transportation,1.1
2015,all,1.1
2015,food,3.7
2015,gas,-16.6
2015,shelter,1.1
2015,transportation,-3.0
2016,all,1.4
2016,food,1.5
2016,gas,-6.0
2016,shelter,1.6
2016,transportation,1.1
2017,all,1.6
2017,food,0.1
2017,gas,11.8
2017,shelter,1.7
2017,transportation,3.9
2018,all,2.3
2018,food,1.9
2018,gas,12.5
2018,shelter,2.1
2018,transportation,4.7
2019,all,1.9
2019,food,3.4
2019,gas,-6.1
2019,shelter,2.5
2019,transportation,1.8
2020,all,0.7
2020,food,2.3
2020,gas,-13.9
2020,shelter,1.7
2020,transportation,-0.2
2021,all,3.4
2021,food,2.5
2021,gas,31.2
2021,shelter,3.9
2021,transportation,7.2
2022,all,6.8
2022,food,8.9
2022,gas,28.5
2022,shelter,6.9
2022,transportation,10.7
2023,all,3.9
2023,food,7.5
2023,gas,-7.6
2023,shelter,5.6
2023,transportation,0.9
2024,all,2.4
2024,food,2.7
2024,gas,-0.2
2024,shelter,5.7
2024,transportation,1.6
